Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
ai-generated-t-shirt-3,Ai generated T-shirt 3,<strong>Ai T-shirt</strong>,Burton,,T-shirt,"",true,Size,L,,,,,'22656210222859066356,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/mickey-mouse.jpg?v=1686229753,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
ai-generated-t-shirt-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/mickey-mouse_a01b3f17-51d8-45b5-a797-541e240853d4.jpg?v=1686229753,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai-generated-t-shirt-4,Ai generated T-shirt 3,<strong>Ai T-shirt</strong>,Burton,,T-shirt,"",true,Size,L,,,,,'30546285624037921239,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/india.jpg?v=1686234145,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
ai-generated-t-shirt-4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/india_8b72ad63-a5e7-4e4f-9bbc-d26022156340.jpg?v=1686234145,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai-product-1,ai-product-1,"",vqtesting,,"","",true,Title,Default Title,,,,,'12345,0.0,shopify,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0724/9005/8008/files/image_2023_06_01T12_59_02_218Z_a21c876d-a9bf-4a97-8a8c-63af36495312.png?v=1685691868,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
amanedial,amanedial,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,2XL,,,,,'16931742218160461114,0.0,,deny,manual,20.07,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/amanedial.jpg?v=1686292100,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
amanedial,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/amanedial_c43961c3-6b86-4cd2-bd5d-c2be74422c18.jpg?v=1686292100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbie,barbie,<strong>Ai T-shirt</strong>,Printify,,T-shirt,hidden,true,Size,S,,,,,'26508537993495998183,0.0,,deny,manual,29.29,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/barbie.jpg?v=1686996342,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
barbie,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/barbie_46856504-d77b-4719-90bf-f4bfc357a0f0.jpg?v=1686996342,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
beast,beast,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",false,Size,M,,,,,'27125533539251956919,0.0,shopify,deny,manual,18.62,,true,true,"",https://cdn.shopify.com/s/files/1/0724/9005/8008/products/beast.jpg?v=1686293376,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
beast,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/beast_52f13a90-9777-4ae5-a03f-c4a52e5a6c97.jpg?v=1686293376,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps,Canvas Gallery Wraps,"Uplift any room's decor with art that's printed on top-quality canvas gallery wraps. Each wrap is made with finely textured, artist-grade cotton substrate which helps reproduce your image in outstanding clarity and detail. Available in multiple sizes, these closed back canvases are built with a patented, solid support face and are excellent for indoor use.<br><p>.: 100% cotton fabric (400gsm)<br>.: Horizontal, vertical and square options available<br>.: Closed MDF backing<br>.: Built with a patented solid support face<br>.: High image quality and detail<br>.: NB! For indoor use only</p>",Printify,,Canvas,"Art & Wall Decor, Canvas, Fall Picks, Hanging Hardware, Home & Living, Indoor, Top Spring Products, Valentine's Day promotion",true,Size,10″ x 8″,Depth,Premium Gallery Wraps (1.25″),,,'33068708259440222234,459.988022417,,deny,printify,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2e5677a215db3577ad20bf7dfa5aa3fd.jpg?v=1684137869,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2e5677a215db3577ad20bf7dfa5aa3fd.jpg?v=1684137869,lb,,10.32,true,true,,,true,,,active
canvas-gallery-wraps,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/56b858ceec1051bd7a5caa2115c01453.jpg?v=1684137869,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/e05cb8aba3966570b3241138dbf8672d.jpg?v=1684137869,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/733d9f91fc1ff743cee04f5404d89b7d.jpg?v=1684137869,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/41432b75c8e784b60b88be45282301b1.jpg?v=1684137869,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/6da29d15747ec731770b22c7c8f15a36.jpg?v=1684137874,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/cb3b5fe514789a0886a94b561f8e3d54.jpg?v=1684137874,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps-1,Canvas Gallery Wraps,"Uplift any room's decor with art that's printed on top-quality canvas gallery wraps. Each wrap is made with finely textured, artist-grade cotton substrate which helps reproduce your image in outstanding clarity and detail. Available in multiple sizes, these closed back canvases are built with a patented, solid support face and are excellent for indoor use.<br><p>.: 100% cotton fabric (400gsm)<br>.: Horizontal, vertical and square options available<br>.: Closed MDF backing<br>.: Built with a patented solid support face<br>.: High image quality and detail<br>.: NB! For indoor use only</p>",Printify,,Canvas,"Art & Wall Decor, Canvas, Fall Picks, Hanging Hardware, Home & Living, Indoor, Top Spring Products, Valentine's Day promotion",true,Size,10″ x 8″,Depth,Premium Gallery Wraps (1.25″),,,'56100956086743864611,459.988022417,,deny,printify,17.22,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/021191386099d19223c909583645f070.jpg?v=1684141341,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/021191386099d19223c909583645f070.jpg?v=1684141341,lb,,10.32,true,true,,,true,,,active
canvas-gallery-wraps-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/a608e8253142cfa60d76f0332746a565.jpg?v=1684141341,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/e05cb8aba3966570b3241138dbf8672d_8b4c6188-a0e2-479d-aa42-629d0d195ef3.jpg?v=1684141341,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/11f9d2c2cae7ba4a0c8aca65e45c7194.jpg?v=1684141341,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/736fc50bdd5ea87965095f3f1d353031.jpg?v=1684141341,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/22586bc524036d1c6fe89959865ded08.jpg?v=1684141346,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
canvas-gallery-wraps-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/0232d3f6806b0028b84ec7965a79b72e.jpg?v=1684141346,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
car,car,<strong>Ai T-shirt</strong>,Printify,,T-shirt,hidden,true,Size,S,,,,,'27113059322455389514,0.0,,deny,manual,29.29,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/car.jpg?v=1686995290,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
car,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/car_9b05217e-b606-4f7e-ba2b-3ee2c1cef26d.jpg?v=1686995290,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
burton-custom-freestyle-151,Customizable T- shirt,<b>Now you can create t shirts with the help of AI</b>,Printify,,Snowboard,hidden,true,Title,Default Title,,,,,123347943y,0.0,shopify,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0724/9005/8008/files/image_2023_06_01T12_59_02_218Z.png?v=1685624388,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
devil,devil,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'13030341478346678963,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/devil.jpg?v=1686288669,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
devil,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/devil_c8e29e9b-ae05-4e10-bc63-b061a93aea2f.jpg?v=1686288669,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
devil-1,devil,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'46630282948236289261,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/devil_30c15223-27b6-4ad1-aa4f-e0a50d0633e8.jpg?v=1686292494,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
devil-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/devil_d53c1128-e719-4f8e-ae8c-c9c16348c411.jpg?v=1686292494,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon,dragon,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,M,,,,,'27996047216755291610,0.0,,deny,manual,30.32,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/dragon.jpg?v=1686897007,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
dragon,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/dragon_d7e36f88-db2a-4f04-b75c-72456bc36f52.jpg?v=1686897007,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
flash,flash,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'15002273705272552733,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/flash.jpg?v=1686747298,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
flash,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/flash_6117c26d-593c-4921-a5b7-591d3b3b99f7.jpg?v=1686747298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
godzilla,godzilla,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'28172389345116343542,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/godzilla.jpg?v=1686678136,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
godzilla,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/godzilla_905c8fe1-d991-4e80-a45f-8b85b9f06b7b.jpg?v=1686678136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
goku,Goku,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'29663467109128046389,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/goku.jpg?v=1686896651,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
goku,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/goku_ddbe5742-68ec-4086-8e2b-32d3c977ec41.jpg?v=1686896651,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
krishna,krishna,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,XL,,,,,'17614323349876360558,0.0,,deny,manual,19.64,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/krishna.jpg?v=1686291716,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
krishna,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/krishna_99550ca1-742b-4283-a42c-0dd272f337ca.jpg?v=1686291716,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
little-krishna,little krishna,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'23807003443246679877,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/little-krishna.jpg?v=1686292766,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
little-krishna,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/little-krishna_ae20efb0-e0fe-4f8a-b6b3-56ad764a8d6b.jpg?v=1686292766,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucifer,lucifer,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'21777968598422263727,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/lucifer.jpg?v=1686290175,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
lucifer,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/lucifer_75b7e347-f583-44f1-a756-9bf8bfaee4db.jpg?v=1686290175,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
skull,skull,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,M,,,,,'19660235284489207591,0.0,,deny,manual,30.32,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/skull.jpg?v=1686648393,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
skull,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/skull_fa1447ad-89d0-4def-a179-4cb0c5811bcd.jpg?v=1686648393,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-1,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'26598518041594931362,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_e62e3cc4-2ff8-4ecd-a586-31754984775c.jpg?v=1686749954,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_539d8b77-6748-429a-8ab6-c7e00ed1285a.jpg?v=1686749954,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-2,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'28616685370520640944,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_1d057c50-fc2d-4ebd-ab65-4ca6b666083b.jpg?v=1686896481,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_958dbd77-dfa6-48f2-9105-6029b8086e41.jpg?v=1686896481,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
